timestamp,latitude,longitude,heading,event_type,avg_deceleration_kmh_s,peak_deceleration_kmh_s,surrounding_speed_kmh,speed_at_braking_segment_kmh,duration_flagged_interval_s,road_quality,gps_distance_m,time_interval_s,trip_id,segments_represented
2026-01-26 09:04:26+00:00,52.35381,4.80915,70.0,Sudden braking,2.0,2.0,21.236363636363635,20.3,1.0,2,5.2,1.0,602CA_Trip195,1
2026-01-26 09:07:11+00:00,52.356113,4.826721,90.0,Sudden braking,2.2,2.2,18.936363636363637,18.9,1.0,2,4.4,1.0,602CA_Trip195,1
2026-01-26 09:07:12+00:00,52.356111,4.826785,92.0,Sudden braking,2.1,2.1,17.527272727272727,16.8,1.0,2,3.5,1.0,602CA_Trip195,1
2026-01-26 09:07:19+00:00,52.355922,4.826866,167.0,Sudden braking,2.1,2.1,10.042857142857143,7.2,1.0,1,1.8,1.0,602CA_Trip195,1
2026-01-26 09:07:42+00:00,52.356065,4.827126,28.0,Sudden braking,2.2,2.2,8.657142857142857,6.2,1.0,2,1.4,1.0,602CA_Trip195,1
2026-01-26 09:12:16+00:00,52.35495,4.849996,89.0,Sudden braking,2.2,2.2,17.118181818181817,18.9,1.0,2,4.3,1.0,602CA_Trip195,1
2026-01-26 09:12:17+00:00,52.35495,4.850059,89.0,Sudden braking,2.7,2.7,15.518181818181818,16.2,1.0,2,3.6,1.0,602CA_Trip195,1
2026-01-26 09:12:18+00:00,52.354951,4.850112,89.0,Sudden braking,2.8,2.8,14.709999999999999,13.4,1.0,2,2.4,1.0,602CA_Trip195,1
2026-01-26 09:12:19+00:00,52.354951,4.850148,89.0,Sudden braking,2.7,2.7,13.744444444444444,10.7,1.0,2,2.1,1.0,602CA_Trip195,1
2026-01-26 09:12:20+00:00,52.354951,4.850179,89.0,Sudden braking,2.5,2.5,12.6375,8.2,1.0,2,1.5,1.0,602CA_Trip195,1
2026-01-26 09:17:45+00:00,52.361595,4.88154,56.0,Sudden braking,2.1,2.1,20.25,21.1,1.0,2,5.1,1.0,602CA_Trip195,1
2026-01-26 09:17:46+00:00,52.361622,4.8816,52.0,Sudden braking,2.4,2.4,19.41111111111111,18.7,1.0,2,4.1,1.0,602CA_Trip195,1
2026-01-26 09:17:47+00:00,52.361647,4.881644,50.0,Sudden braking,3.6,3.6,18.4625,15.1,1.0,3,3.4,1.0,602CA_Trip195,1
2026-01-26 09:17:48+00:00,52.361669,4.881678,40.0,Sudden braking,4.3,4.3,17.37142857142857,10.8,1.0,2,2.6,1.0,602CA_Trip195,1
2026-01-26 09:19:46+00:00,52.359644,4.890081,112.0,Sudden braking,2.0,2.0,22.0,23.7,1.0,2,6.0,1.0,602CA_Trip195,1
2026-01-26 09:19:47+00:00,52.359619,4.890159,114.0,Sudden braking,2.4,2.4,20.181818181818183,21.3,1.0,2,4.9,1.0,602CA_Trip195,1
2026-01-26 09:19:48+00:00,52.359601,4.890226,116.0,Sudden braking,2.7,2.7,18.2,18.6,1.0,2,4.3,1.0,602CA_Trip195,1
2026-01-26 09:19:49+00:00,52.359576,4.890273,125.0,Sudden braking,2.8,2.8,16.10909090909091,15.8,1.0,2,3.4,1.0,602CA_Trip195,1
2026-01-26 09:19:50+00:00,52.359559,4.890315,124.0,Sudden braking,2.6,2.6,14.036363636363637,13.2,1.0,2,2.8,1.0,602CA_Trip195,1
2026-01-26 09:19:51+00:00,52.35955,4.890353,117.0,Sudden braking,2.3,2.3,12.870000000000001,10.9,1.0,2,2.5,1.0,602CA_Trip195,1
2026-01-26 09:19:52+00:00,52.359548,4.890389,108.0,Sudden braking,2.0,2.0,11.666666666666668,8.9,1.0,2,1.9,1.0,602CA_Trip195,1
2026-01-26 09:19:53+00:00,52.359551,4.890417,99.0,Sudden braking,2.1,2.1,9.811111111111112,6.8,1.0,2,1.3,1.0,602CA_Trip195,1
2026-01-26 09:21:53+00:00,52.359336,4.897922,77.0,Sudden braking,2.4,2.4,17.51818181818182,19.3,1.0,2,4.5,1.0,602CA_Trip195,1
2026-01-26 09:21:54+00:00,52.359344,4.897988,77.0,Sudden braking,2.7,2.7,15.954545454545455,16.6,1.0,2,3.6,1.0,602CA_Trip195,1
2026-01-26 09:21:55+00:00,52.359351,4.89804,77.0,Sudden braking,2.7,2.7,14.245454545454546,13.9,1.0,2,2.8,1.0,602CA_Trip195,1
2026-01-26 09:21:56+00:00,52.359358,4.898079,77.0,Sudden braking,2.4,2.4,13.290000000000001,11.5,1.0,2,2.5,1.0,602CA_Trip195,1
2026-01-26 09:21:57+00:00,52.359364,4.898114,78.0,Sudden braking,2.1,2.1,12.177777777777777,9.4,1.0,2,2.0,1.0,602CA_Trip195,1
2026-01-26 09:21:58+00:00,52.359365,4.898143,78.0,Sudden braking,2.2,2.2,10.9875,7.2,1.0,2,1.8,1.0,602CA_Trip195,1
2026-01-26 09:24:07+00:00,52.361025,4.907867,84.0,Sudden braking,2.1,2.1,15.8,15.3,1.0,2,4.0,1.0,602CA_Trip195,1
2026-01-26 09:26:26+00:00,52.367061,4.912459,29.0,Sudden braking,2.7,2.7,22.89090909090909,26.4,1.0,2,5.7,1.0,602CA_Trip195,1
2026-01-26 09:26:27+00:00,52.367103,4.912505,29.0,Sudden braking,3.9,3.9,21.68181818181818,22.5,1.0,2,4.4,1.0,602CA_Trip195,1
2026-01-26 09:26:28+00:00,52.367131,4.91255,29.0,Sudden braking,4.1,4.1,20.37272727272727,18.4,1.0,3,2.9,1.0,602CA_Trip195,1
2026-01-26 09:26:29+00:00,52.367149,4.912582,29.0,Sudden braking,3.4,3.4,19.054545454545455,15.0,1.0,3,2.6,1.0,602CA_Trip195,1
2026-01-26 09:26:30+00:00,52.367168,4.912604,29.0,Sudden braking,2.0,2.0,17.8,13.0,1.0,2,1.7,1.0,602CA_Trip195,1
2026-01-26 09:27:36+00:00,52.369475,4.912277,299.0,Sudden braking,2.0,2.0,15.227272727272727,14.6,1.0,2,4.0,1.0,602CA_Trip195,1
2026-01-26 09:30:06+00:00,52.372399,4.918303,36.0,Sudden braking,2.0,2.0,12.511111111111111,11.5,1.0,2,3.5,1.0,602CA_Trip195,1
2026-01-26 09:30:07+00:00,52.372431,4.918313,21.0,Sudden braking,2.3,2.3,11.825,9.2,1.0,2,2.4,1.0,602CA_Trip195,1
2026-01-26 09:30:08+00:00,52.372445,4.918287,351.0,Sudden braking,2.1,2.1,11.1,7.1,1.0,2,1.1,1.0,602CA_Trip195,1
2026-02-20 07:45:07+00:00,52.353679,4.807277,151.0,Sudden braking,2.0,2.0,11.366666666666667,10.0,1.0,2,1.8,1.0,602CA_Trip196,1
2026-02-20 07:45:08+00:00,52.353665,4.807289,152.0,Sudden braking,2.3,2.3,10.5875,7.7,1.0,2,1.8,1.0,602CA_Trip196,1
2026-02-20 07:45:09+00:00,52.35365,4.807296,154.0,Sudden braking,2.3,2.3,8.9125,5.4,1.0,2,1.6,1.0,602CA_Trip196,1
2026-02-20 07:49:14+00:00,52.356113,4.826831,90.0,Sudden braking,2.0,2.0,18.51818181818182,19.5,1.0,2,4.8,1.0,602CA_Trip196,1
2026-02-20 07:49:15+00:00,52.356112,4.826901,90.0,Sudden braking,2.2,2.2,17.081818181818182,17.3,1.0,2,3.7,1.0,602CA_Trip196,1
2026-02-20 07:49:16+00:00,52.356114,4.826955,89.0,Sudden braking,2.2,2.2,15.627272727272727,15.1,1.0,2,2.9,1.0,602CA_Trip196,1
2026-02-20 07:49:17+00:00,52.356112,4.826997,93.0,Sudden braking,2.1,2.1,14.263636363636364,13.0,1.0,2,3.3,1.0,602CA_Trip196,1
2026-02-20 07:53:11+00:00,52.355713,4.84762,90.0,Sudden braking,2.2,2.2,17.945454545454545,18.4,1.0,2,4.5,1.0,602CA_Trip196,1
2026-02-20 07:53:12+00:00,52.355707,4.847686,94.0,Sudden braking,2.4,2.4,16.954545454545453,16.0,1.0,2,3.3,1.0,602CA_Trip196,1
2026-02-20 07:53:13+00:00,52.355693,4.847729,106.0,Sudden braking,2.2,2.2,16.1,13.8,1.0,2,2.8,1.0,602CA_Trip196,1
2026-02-20 07:53:58+00:00,52.35496,4.850146,89.0,Sudden braking,2.2,2.2,14.21111111111111,12.4,1.0,2,2.6,1.0,602CA_Trip196,1
2026-02-20 07:53:59+00:00,52.35496,4.850184,89.0,Sudden braking,2.2,2.2,13.21111111111111,10.2,1.0,2,2.0,1.0,602CA_Trip196,1
2026-02-20 07:54:56+00:00,52.354775,4.855067,72.0,Sudden braking,2.5,2.5,17.49,18.6,1.0,2,4.1,1.0,602CA_Trip196,1
2026-02-20 07:54:57+00:00,52.354787,4.855125,72.0,Sudden braking,3.1,3.1,16.933333333333334,15.5,1.0,2,3.5,1.0,602CA_Trip196,1
2026-02-20 07:54:58+00:00,52.354799,4.855174,69.0,Sudden braking,3.8,3.8,16.1125,11.7,1.0,3,2.0,1.0,602CA_Trip196,1
2026-02-20 07:54:59+00:00,52.354807,4.8552,62.0,Sudden braking,3.2,3.2,15.0,8.5,1.0,3,1.4,1.0,602CA_Trip196,1
2026-02-20 07:59:59+00:00,52.361637,4.881725,49.0,Sudden braking,2.3,2.3,11.9125,9.1,1.0,2,2.2,1.0,602CA_Trip196,1
2026-02-20 08:00:00+00:00,52.361653,4.881743,42.0,Sudden braking,2.1,2.1,11.057142857142857,7.0,1.0,2,1.0,1.0,602CA_Trip196,1
2026-02-20 08:01:24+00:00,52.362503,4.883528,47.0,Sudden braking,2.7,2.7,12.436363636363637,11.9,1.0,2,3.1,1.0,602CA_Trip196,1
2026-02-20 08:01:25+00:00,52.362522,4.88356,45.0,Sudden braking,2.5,2.5,12.027272727272727,9.4,1.0,2,2.6,1.0,602CA_Trip196,1
2026-02-20 08:08:56+00:00,52.368512,4.913726,30.0,Sudden braking,2.1,2.1,18.536363636363635,19.8,1.0,2,4.7,1.0,602CA_Trip196,1
2026-02-20 08:08:57+00:00,52.368549,4.913761,30.0,Sudden braking,2.4,2.4,17.318181818181817,17.4,1.0,3,3.4,1.0,602CA_Trip196,1
2026-02-20 08:08:58+00:00,52.368576,4.913785,30.0,Sudden braking,2.3,2.3,16.054545454545455,15.1,1.0,3,2.9,1.0,602CA_Trip196,1
2026-02-20 08:10:44+00:00,52.371026,4.915068,75.0,Sudden braking,2.0,2.0,10.1875,7.1,1.0,2,1.5,1.0,602CA_Trip196,1
2026-02-21 17:16:45+00:00,52.371057,4.913207,282.0,Sudden braking,2.5,2.5,14.3625,12.1,1.0,1,2.5,1.0,602CA_Trip378,1
2026-02-21 17:16:46+00:00,52.371059,4.913171,278.0,Sudden braking,2.6,2.6,13.757142857142856,9.5,1.0,1,2.0,1.0,602CA_Trip378,1
2026-02-21 17:19:25+00:00,52.366718,4.911888,212.0,Sudden braking,2.0,2.0,10.911111111111111,9.6,1.0,2,2.2,1.0,602CA_Trip378,1
2026-02-21 17:19:26+00:00,52.366701,4.911871,212.0,Sudden braking,2.1,2.1,10.325,7.5,1.0,2,1.6,1.0,602CA_Trip378,1
2026-02-21 17:21:14+00:00,52.364441,4.90666,263.0,Sudden braking,2.2,2.2,17.963636363636365,18.3,1.0,2,4.3,1.0,602CA_Trip378,1
2026-02-21 17:21:15+00:00,52.36444,4.906597,271.0,Sudden braking,2.0,2.0,17.37,16.3,1.0,2,3.4,1.0,602CA_Trip378,1
2026-02-21 17:25:14+00:00,52.359734,4.898713,203.0,Sudden braking,2.0,2.0,14.936363636363636,14.6,1.0,2,3.6,1.0,602CA_Trip378,1
2026-02-21 17:25:15+00:00,52.359703,4.8987,203.0,Sudden braking,2.1,2.1,14.045454545454545,12.5,1.0,2,2.6,1.0,602CA_Trip378,1
2026-02-21 17:28:25+00:00,52.362572,4.883937,309.0,Sudden braking,2.3,2.3,15.49090909090909,16.7,1.0,2,3.5,1.0,602CA_Trip378,1
2026-02-21 17:28:26+00:00,52.362592,4.883897,309.0,Sudden braking,2.8,2.8,13.818181818181818,13.9,1.0,2,2.5,1.0,602CA_Trip378,1
2026-02-21 17:28:27+00:00,52.362607,4.883869,310.0,Sudden braking,2.8,2.8,12.10909090909091,11.1,1.0,2,1.9,1.0,602CA_Trip378,1
2026-02-21 17:28:28+00:00,52.362614,4.883843,309.0,Sudden braking,2.3,2.3,11.11,8.8,1.0,2,1.5,1.0,602CA_Trip378,1
2026-02-21 17:34:25+00:00,52.354974,4.855911,248.0,Sudden braking,2.0,2.0,16.236363636363635,16.9,1.0,2,4.4,1.0,602CA_Trip378,1
2026-02-21 17:34:26+00:00,52.354966,4.855847,253.0,Sudden braking,2.2,2.2,14.836363636363636,14.7,1.0,2,3.5,1.0,602CA_Trip378,1
2026-02-21 17:34:27+00:00,52.354957,4.855797,253.0,Sudden braking,2.1,2.1,13.427272727272728,12.6,1.0,2,2.5,1.0,602CA_Trip378,1
2026-02-21 17:40:44+00:00,52.356345,4.827562,302.0,Sudden braking,2.2,2.2,12.911111111111111,11.6,1.0,2,2.7,1.0,602CA_Trip378,1
2026-02-21 17:40:45+00:00,52.356361,4.827533,307.0,Sudden braking,2.4,2.4,12.3,9.2,1.0,2,2.1,1.0,602CA_Trip378,1
2026-02-23 07:28:43+00:00,52.354148,4.810755,71.0,Sudden braking,2.0,2.0,15.872727272727273,15.9,1.0,2,6.9,1.0,602CA_Trip379,1
2026-02-23 07:31:32+00:00,52.356113,4.826911,89.0,Sudden braking,2.1,2.1,17.39090909090909,18.7,1.0,2,4.4,1.0,602CA_Trip379,1
2026-02-23 07:31:33+00:00,52.356114,4.826975,90.0,Sudden braking,2.5,2.5,15.763636363636364,16.2,1.0,2,3.3,1.0,602CA_Trip379,1
2026-02-23 07:31:34+00:00,52.356109,4.827023,95.0,Sudden braking,2.7,2.7,14.00909090909091,13.5,1.0,2,3.0,1.0,602CA_Trip379,1
2026-02-23 07:31:35+00:00,52.3561,4.827065,105.0,Sudden braking,2.3,2.3,12.218181818181819,11.2,1.0,2,2.2,1.0,602CA_Trip379,1
2026-02-23 07:35:49+00:00,52.3557,4.847667,94.0,Sudden braking,2.1,2.1,17.509090909090908,16.5,1.0,2,3.8,1.0,602CA_Trip379,1
2026-02-23 07:50:58+00:00,52.366073,4.911548,30.0,Sudden braking,2.3,2.3,17.272727272727273,17.8,1.0,2,4.0,1.0,602CA_Trip379,1
2026-02-23 07:50:59+00:00,52.366104,4.911577,30.0,Sudden braking,2.5,2.5,15.781818181818181,15.3,1.0,2,3.0,1.0,602CA_Trip379,1
2026-02-23 07:51:00+00:00,52.366125,4.911604,30.0,Sudden braking,2.5,2.5,14.381818181818183,12.8,1.0,2,2.7,1.0,602CA_Trip379,1
2026-02-23 07:51:01+00:00,52.36614,4.911635,30.0,Sudden braking,2.0,2.0,13.145454545454546,10.8,1.0,2,2.2,1.0,602CA_Trip379,1
2026-03-02 08:25:30+00:00,52.353793,4.809064,74.0,Sudden braking,2.1,2.1,14.554545454545455,14.7,1.0,2,3.8,1.0,602CA_Trip380,1
2026-03-02 08:25:31+00:00,52.353811,4.809111,70.0,Sudden braking,2.1,2.1,13.045454545454545,12.6,1.0,2,2.7,1.0,602CA_Trip380,1
2026-03-02 08:29:26+00:00,52.356103,4.826794,89.0,Sudden braking,2.2,2.2,18.21818181818182,19.0,1.0,2,4.2,1.0,602CA_Trip380,1
2026-03-02 08:29:27+00:00,52.356108,4.826856,88.0,Sudden braking,2.4,2.4,16.536363636363635,16.6,1.0,2,3.8,1.0,602CA_Trip380,1
2026-03-02 08:29:28+00:00,52.356109,4.826912,90.0,Sudden braking,2.3,2.3,14.809090909090909,14.3,1.0,2,3.4,1.0,602CA_Trip380,1
2026-03-02 08:29:29+00:00,52.35611,4.826961,90.0,Sudden braking,2.0,2.0,13.86,12.3,1.0,2,2.8,1.0,602CA_Trip380,1
2026-03-02 08:34:34+00:00,52.354772,4.853539,100.0,Sudden braking,2.5,2.5,14.563636363636364,15.6,1.0,3,5.1,1.0,602CA_Trip380,1
2026-03-02 08:34:35+00:00,52.354766,4.853614,99.0,Sudden braking,2.7,2.7,12.99090909090909,12.9,1.0,3,2.2,1.0,602CA_Trip380,1
2026-03-02 08:34:36+00:00,52.354774,4.853644,89.0,Sudden braking,2.5,2.5,11.527272727272727,10.4,1.0,2,2.3,1.0,602CA_Trip380,1
2026-03-02 08:34:37+00:00,52.354794,4.853655,65.0,Sudden braking,2.6,2.6,10.181818181818182,7.8,1.0,2,2.1,1.0,602CA_Trip380,1
2026-03-02 08:34:38+00:00,52.354803,4.853681,57.0,Sudden braking,2.1,2.1,8.972727272727273,5.7,1.0,2,2.5,1.0,602CA_Trip380,1
2026-03-02 08:39:37+00:00,52.361601,4.881703,62.0,Sudden braking,2.4,2.4,16.681818181818183,18.9,1.0,2,4.6,1.0,602CA_Trip380,1
2026-03-02 08:39:38+00:00,52.361623,4.881761,60.0,Sudden braking,3.0,3.0,15.89,15.9,1.0,2,3.1,1.0,602CA_Trip380,1
2026-03-02 08:39:39+00:00,52.361639,4.881799,60.0,Sudden braking,3.0,3.0,14.988888888888889,12.9,1.0,2,1.4,1.0,602CA_Trip380,1
2026-03-02 08:39:40+00:00,52.36165,4.881787,55.0,Sudden braking,3.4,3.4,13.925,9.5,1.0,2,2.7,1.0,602CA_Trip380,1
2026-03-02 08:39:41+00:00,52.361664,4.881818,54.0,Sudden braking,3.4,3.4,11.4875,6.1,1.0,2,1.6,1.0,602CA_Trip380,1
2026-03-02 08:42:38+00:00,52.359511,4.890996,100.0,Sudden braking,2.3,2.3,15.081818181818182,17.2,1.0,1,4.2,1.0,602CA_Trip380,1
2026-03-02 08:42:39+00:00,52.359505,4.891057,100.0,Sudden braking,3.0,3.0,14.47,14.2,1.0,1,2.8,1.0,602CA_Trip380,1
2026-03-02 08:42:40+00:00,52.359504,4.891098,98.0,Sudden braking,3.0,3.0,12.62,11.2,1.0,1,1.7,1.0,602CA_Trip380,1
2026-03-02 08:42:41+00:00,52.359499,4.891121,103.0,Sudden braking,2.8,2.8,11.6,8.4,1.0,1,1.3,1.0,602CA_Trip380,1
2026-03-02 08:42:42+00:00,52.359496,4.89114,104.0,Sudden braking,2.7,2.7,10.424999999999999,5.7,1.0,1,1.1,1.0,602CA_Trip380,1
2026-03-02 08:44:35+00:00,52.359333,4.89811,77.0,Sudden braking,2.6,2.6,16.445454545454545,17.1,1.0,2,5.1,1.0,602CA_Trip380,1
2026-03-02 08:44:36+00:00,52.359339,4.898184,78.0,Sudden braking,2.4,2.4,14.754545454545454,14.7,1.0,2,1.1,1.0,602CA_Trip380,1
2026-03-02 08:44:37+00:00,52.359342,4.8982,78.0,Sudden braking,2.2,2.2,13.86,12.5,0.999,2,2.3,0.999,602CA_Trip380,1
2026-03-02 08:44:38+00:00,52.359349,4.898231,78.0,Sudden braking,2.4,2.4,12.877777777777778,10.1,1.0,2,2.3,1.0,602CA_Trip380,1
2026-03-02 08:44:39+00:00,52.359356,4.898263,78.0,Sudden braking,2.2,2.2,11.7875,7.9,1.0,2,1.8,1.0,602CA_Trip380,1
2026-03-02 08:46:48+00:00,52.360975,4.907616,72.0,Sudden braking,3.0,3.0,17.71818181818182,19.4,1.0,2,4.2,1.0,602CA_Trip380,1
2026-03-02 08:46:49+00:00,52.360984,4.907677,73.0,Sudden braking,3.6,3.6,15.927272727272728,15.8,1.0,2,2.7,1.0,602CA_Trip380,1
2026-03-02 08:46:50+00:00,52.36099,4.907715,71.0,Sudden braking,3.3,3.3,14.018181818181818,12.5,1.0,2,1.9,1.0,602CA_Trip380,1
2026-03-02 08:46:51+00:00,52.361001,4.907737,66.0,Sudden braking,2.7,2.7,12.145454545454545,9.8,1.0,2,2.2,1.0,602CA_Trip380,1
2026-03-02 08:46:52+00:00,52.36101,4.907766,66.0,Sudden braking,2.0,2.0,10.93,7.8,1.0,2,1.9,1.0,602CA_Trip380,1
2026-03-02 08:49:12+00:00,52.364719,4.910793,343.0,Sudden braking,2.4,2.4,19.84,20.6,1.0,2,4.9,1.0,602CA_Trip380,1
2026-03-02 08:49:13+00:00,52.36476,4.91077,344.0,Sudden braking,2.6,2.6,19.527272727272727,18.0,1.0,2,3.9,1.0,602CA_Trip380,1
2026-03-02 08:49:14+00:00,52.364792,4.910747,344.0,Sudden braking,2.2,2.2,18.745454545454546,15.8,1.0,2,3.0,1.0,602CA_Trip380,1
2026-03-02 08:49:40+00:00,52.366039,4.911558,30.0,Sudden braking,2.1,2.1,17.69090909090909,18.7,1.0,3,4.2,1.0,602CA_Trip380,1
2026-03-02 08:49:41+00:00,52.36607,4.911591,30.0,Sudden braking,2.3,2.3,16.37272727272727,16.4,1.0,3,3.8,1.0,602CA_Trip380,1
2026-03-02 08:49:42+00:00,52.366101,4.911615,30.0,Sudden braking,2.3,2.3,15.027272727272727,14.1,1.0,3,3.8,1.0,602CA_Trip380,1
2026-03-02 08:49:43+00:00,52.366133,4.911636,30.0,Sudden braking,2.0,2.0,13.772727272727272,12.1,1.0,3,2.9,1.0,602CA_Trip380,1
2026-03-02 08:51:03+00:00,52.369476,4.912364,299.0,Sudden braking,2.1,2.1,18.48,18.0,1.0,2,3.9,1.0,602CA_Trip380,1
2026-03-02 08:51:04+00:00,52.369498,4.912319,299.0,Sudden braking,2.3,2.3,17.41,15.7,1.0,2,4.0,1.0,602CA_Trip380,1
2026-03-02 08:52:06+00:00,52.371,4.914957,60.0,Sudden braking,2.0,2.0,15.559999999999999,14.8,1.0,2,3.4,1.0,602CA_Trip380,1
2026-03-02 08:52:07+00:00,52.371007,4.915006,69.0,Sudden braking,2.1,2.1,14.14,12.7,1.0,2,3.0,1.0,602CA_Trip380,1
2026-03-02 08:52:08+00:00,52.371012,4.915049,74.0,Sudden braking,2.3,2.3,13.05,10.4,1.0,2,2.1,1.0,602CA_Trip380,1
2026-04-01 09:07:55+00:00,52.374505,4.915053,255.0,Sudden braking,2.07,2.07,16.88,16.0,0.967,3,5.3,0.967,602CA_Trip194,1
2026-04-01 09:09:00+00:00,52.376584,4.914058,340.0,Sudden braking,2.3,2.3,16.93,16.0,0.999,2,4.4,0.999,602CA_Trip194,1
2026-04-01 09:11:15+00:00,52.373886,4.920184,226.0,Sudden braking,2.54,2.54,18.022222222222222,17.4,0.946,2,4.0,0.946,602CA_Trip194,1
2026-04-01 09:11:16+00:00,52.37386,4.920144,217.0,Sudden braking,2.29,2.29,18.022222222222222,15.0,1.05,2,6.0,1.05,602CA_Trip194,1
2026-04-08 13:26:31+00:00,52.37505,4.914063,211.0,Sudden braking,2.0,2.0,12.045454545454545,13.3,1.001,3,5.3,1.001,602DE_Trip197,1
2026-04-08 13:26:32+00:00,52.375008,4.914025,210.0,Sudden braking,2.9,2.9,11.709090909090909,10.4,0.999,3,3.4,0.999,602DE_Trip197,1
2026-04-08 13:26:33+00:00,52.374983,4.913994,213.0,Sudden braking,2.4,2.4,11.463636363636363,8.0,1.0,3,1.7,1.0,602DE_Trip197,1
2026-04-08 13:28:23+00:00,52.372704,4.917601,138.0,Sudden braking,2.8,2.8,15.233333333333333,13.2,1.0,2,3.4,1.0,602DE_Trip197,1
2026-04-08 13:28:24+00:00,52.372674,4.917609,155.0,Sudden braking,2.0,2.0,14.9,11.2,1.001,2,3.0,1.001,602DE_Trip197,1
2026-04-08 13:46:17+00:00,52.376684,4.913279,91.0,Sudden braking,2.4,2.4,13.06,12.8,1.0,3,3.8,1.0,602DE_Trip198,1
2026-04-08 13:47:25+00:00,52.375175,4.91409,187.0,Sudden braking,2.1,2.1,9.75,7.2,1.0,3,4.9,1.0,602DE_Trip198,1
2026-04-08 14:22:00+00:00,52.372656,4.917755,141.0,Sudden braking,2.4,2.4,17.472727272727273,19.6,1.0,2,6.4,1.0,602DE_Trip203,1
2026-04-08 14:22:01+00:00,52.372612,4.917815,139.0,Sudden braking,2.8,2.8,15.4,16.8,1.0,2,4.5,1.0,602DE_Trip203,1
2026-04-08 14:22:02+00:00,52.372579,4.917855,140.0,Sudden braking,3.2,3.2,12.290000000000001,13.6,1.0,2,3.2,1.0,602DE_Trip203,1
2026-04-08 14:22:03+00:00,52.372557,4.917886,139.0,Sudden braking,4.1,4.1,10.38,9.5,1.0,2,2.8,1.0,602DE_Trip203,1
2026-04-08 14:22:04+00:00,52.372538,4.917912,144.0,Sudden braking,3.3,3.3,9.818181818181818,6.2,0.999,2,1.2,0.999,602DE_Trip203,1
2026-04-08 14:22:53+00:00,52.376046,4.914151,340.0,Sudden braking,2.8,2.8,15.5,15.0,1.0,3,4.6,1.0,602D3_Trip201,1
2026-04-08 14:22:54+00:00,52.376087,4.914158,352.0,Sudden braking,2.8,2.8,15.336363636363636,12.2,1.0,2,1.0,1.0,602D3_Trip201,1
2026-04-08 14:23:13+00:00,52.376727,4.913543,281.0,Sudden braking,2.1,2.1,15.527272727272727,16.0,1.0,3,4.0,1.0,602D3_Trip201,1
2026-04-08 14:23:14+00:00,52.376728,4.913484,279.0,Sudden braking,2.2,2.2,15.081818181818182,13.8,1.0,3,3.9,1.0,602D3_Trip201,1
2026-04-08 14:23:15+00:00,52.375194,4.921292,12.0,Sudden braking,2.1,2.1,19.363636363636363,20.2,0.999,2,5.6,0.999,602DE_Trip203,1
2026-04-08 14:23:16+00:00,52.375243,4.921315,15.0,Sudden braking,2.2,2.2,18.072727272727274,18.0,1.0,2,4.7,1.0,602DE_Trip203,1
2026-04-08 14:23:17+00:00,52.374275,4.914652,67.0,Sudden braking,2.4,2.4,13.081818181818182,12.6,1.0,3,5.3,1.0,602D6_Trip200,1
2026-04-08 14:23:17+00:00,52.375283,4.921336,18.0,Sudden braking,2.1,2.1,16.763636363636365,15.9,1.0,3,3.9,1.0,602DE_Trip203,1
2026-04-08 14:23:18+00:00,52.375318,4.921349,11.0,Sudden braking,2.0,2.0,15.97,13.9,1.001,3,3.5,1.001,602DE_Trip203,1
2026-04-08 14:23:26+00:00,52.375515,4.921395,331.0,Sudden braking,2.1,2.1,6.08,6.2,0.999,2,1.6,0.999,602DE_Trip203,1
2026-04-08 14:23:27+00:00,52.375526,4.921381,322.0,Sudden braking,2.2,2.2,5.71,4.0,1.0,2,0.5,1.0,602DE_Trip203,1
2026-04-08 14:23:44+00:00,52.375616,4.920558,282.0,Sudden braking,2.4,2.4,15.47,14.9,1.001,2,4.1,1.001,602DE_Trip203,1
2026-04-08 14:23:45+00:00,52.375625,4.9205,280.0,Sudden braking,2.4,2.4,13.833333333333334,12.5,1.0,3,3.2,1.0,602DE_Trip203,1
2026-04-08 14:24:00+00:00,52.375189,4.914251,205.0,Sudden braking,2.5,2.5,15.209090909090909,16.4,1.0,3,5.8,1.0,602D3_Trip201,1
2026-04-08 14:24:01+00:00,52.375139,4.914226,200.0,Sudden braking,2.3,2.3,14.645454545454545,14.1,1.0,3,1.9,1.0,602D3_Trip201,1
2026-04-08 14:24:02+00:00,52.375131,4.914251,178.0,Sudden braking,2.8,2.8,14.3,11.3,1.0,3,5.8,1.0,602D3_Trip201,1
2026-04-08 14:24:03+00:00,52.37508,4.914273,168.0,Sudden braking,2.7,2.7,14.2,8.6,1.0,2,1.9,1.0,602D3_Trip201,1
2026-04-08 14:24:45+00:00,52.376621,4.914305,284.0,Sudden braking,2.5,2.5,22.254545454545454,22.2,1.001,3,6.5,1.001,602DE_Trip203,1
2026-04-08 14:24:46+00:00,52.376637,4.914213,285.0,Sudden braking,2.6,2.6,21.545454545454547,19.6,1.0,3,5.3,1.0,602DE_Trip203,1
2026-04-08 14:24:48+00:00,52.3724,4.918247,46.0,Sudden braking,2.7,2.7,9.31,8.9,1.0,2,2.1,1.0,602CA_Trip202,1
2026-04-08 14:34:03+00:00,52.374789,4.915445,98.0,Sudden braking,2.0,2.0,6.385714285714286,4.9,1.0,2,1.2,1.0,604F0_Trip204,1
